Id,Designator,Package,Quantity,Designation,Supplier and ref
"1,""+5V,GND,C2D,C2CK,D-,D+,GND,RX,TX"",Prog_Pad,9,debug-pin,-"
2,U4,DFN-8-1EP_3x3mm_Pitch0.5mm,1,ATECC508A,ATECC508A-MAHDA
3,P1,TouchPad,1,TouchPAD,-
4,J1,USB-A-PLUG,1,USB_Plug,Molex 0480372200
"5,""C1,C2,C4"",C_0402,2,0.1uF,100N 16V X7R 10%"
6,U2,SOT-23-6,1,MTCH101,MTCH101-I/OT
7,U1,QFN-20-0.5mm-user,1,EFM8UB1xFxxG-QFN20,EFM8UB10F16G-C-QFN20
"8,U3,SOT-553,1,DF5A5.6JE,""DF5A5.6JE,LM"""
9,C3,C_0402,1,4.7uF,4U7 6V3 X5R 20%
10,D1,LED_0402,1,LED_Small,APG1005RWF-T-5MAV
"11,""R1,R4,R5,R7"",R_0402,1,4K7,Microtech Teltow"
12,R2,R_0402,1,10K,Microtech Teltow
13,R3,R_0402,1,100,Microtech Teltow
